CRR_ID,OriginalCRR_ID,AccountHolder,HedgeType,BidType,CRRType,Source,Sink,StartDate,EndDate,TimeOfUse,Bid24Hour,MW,ShadowPricePerMWH
208339818,,XREUEL,OPT,BUY,PREAWARD,DDPEC_GT1,BYU_PUN1,01/01/2026,01/31/2026,Off-peak,No,1.4,0.056848
208309844,,XMUDD,OBL,BUY,PREAWARD,REDGATE_RN,NED_NEDIN_G1,01/01/2026,01/31/2026,PeakWE,No,5.5,-0.418294
208259726,,XMAGE,OBL,BUY,PREAWARD,SWTWN4_WND45,MOZART_WIND1,01/01/2026,01/31/2026,PeakWD,No,1.3,1.930000
208466907,,XVITR2,OBL,BUY,PREAWARD,MDANP_CT3_4,ANOL_ESS_RN,01/01/2026,01/31/2026,Off-peak,No,0.1,-0.394322
208363432,,XVIRIB,OBL,BUY,PREAWARD,MCSES_UNIT6,PHILLWND_ALL,01/01/2026,01/31/2026,PeakWE,No,5.7,-2.236418
208317597,,XHARTR,OPT,BUY,PREAWARD,ARAGORN_RN,SWOOSEII_RN,01/01/2026,01/31/2026,PeakWE,No,0.1,0.426841
208240894,,XEDIS2,OBL,BUY,PREAWARD,BRISCOE_WIND,HORSECRK_RN,01/01/2026,01/31/2026,PeakWE,No,0.9,2.362039
208511932,,XHYDRA,OPT,BUY,PREAWARD,ARAGORN_RN,CHAL_SLR_RN,01/01/2026,01/31/2026,PeakWE,No,1.6,0.095333
208316867,,XAMES,OBL,BUY,PREAWARD,PSA_PUN1,CHEDPW_GT2,01/01/2026,01/31/2026,Off-peak,No,3.9,-0.396820
208447680,,XTHORD,OBL,BUY,PREAWARD,MESQCRK_ALL,SENATEWD_1,01/01/2026,01/31/2026,PeakWE,No,0.1,-4.231942
208180710,,XBJEN,OPT,BUY,PREAWARD,AGUAYO_UNIT1,BELM_SLR_RN,01/01/2026,01/31/2026,PeakWD,No,0.1,1.892428
