short_name,name,duns_number
XAESMT,AES MARKETING AND TRADING LLC (CRRAH),1187367255000
XALLIA,ALLIANCE POWER COMPANY LLC (CRRAH),1362491875000
XALET,ALTOP ENERGY TRADING LLC (CRRAH),1173942775000
XALET1,ALTOP ENERGY TRADING LLC 1 (CRRAH),1173942775100
XALET2,ALTOP ENERGY TRADING LLC 2 (CRRAH),1173942775200
XALTO1,ALTOP ENERGY TRADING TEXAS LLC 1 (CRRAH),1174165275100
XALTO2,ALTOP ENERGY TRADING TEXAS LLC 2 (CRRAH),1174165275200
XALTO3,ALTOP ENERGY TRADING TEXAS LLC 3 (CRRAH),1174165275300
XALTUS,ALTUS POWER LLC (CRRAH),0806096845000
XALTU1,ALTUS POWER LLC 1 (CRRAH),0806096845100
XALTU2,ALTUS POWER LLC 2 (CRRAH),0806096845200
XAMAQ,AMA QSE LLC (CRRAH),1184965725000
XAMAZA,AMAZAND LLC (CRRAH),0621216265000
XAMATH,AMAZAND THETA LLC (CRRAH),1191048075000
XEPACC,AMERICAN ELECTRIC POWER SERVICE CORP EPACC (CRRAH),0069798765100
XEPMTM,AMERICAN ELECTRIC POWER SERVICE CORP EPMTM (CRRAH),0069798765200
XAMES,AMES ENERGY LLC (CRRAH),0805543175000
XARCTU,ARCTURUS POWER TRADING LLC (CRRAH),0805196935000
XARCT1,ARCTURUS POWER TRADING LLC 1 (CRRAH),0805196935100
XARCT2,ARCTURUS POWER TRADING LLC 2 (CRRAH),0805196935200
XARMEP,ARM ENERGY POWER LLC (CRRAH),1192879945000
XRAID,ASPIRE POWER VENTURES LP (CRRAH),0784171415000
XRAID1,ASPIRE POWER VENTURES LP 1 (CRRAH),0784171415100
XRAID2,ASPIRE POWER VENTURES LP 2 (CRRAH),0784171415200
XATNV,ATNV ENERGY LP (CRRAH),0792520145000
XATNV1,ATNV ENERGY LP 1 (CRRAH),0792520145100
XATNV2,ATNV ENERGY LP 2 (CRRAH),0792520145200
XATVM,ATVI MARKETING II LLC (CRRAH),1192378435000
XATVM1,ATVI MARKETING II LLC 1 (CRRAH),1192378435100
XATVM2,ATVI MARKETING II LLC 2 (CRRAH),1192378435200
XATVUM,ATVI MARKETING LLC (CRRAH),1190111635000
XATVU1,ATVI MARKETING LLC 1 (CRRAH),1190111635100
XATVU2,ATVI MARKETING LLC 2 (CRRAH),1190111635200
XAVANG,AVANGRID POWER LLC (CRRAH),9473764225000
XAXPO,AXPO US LLC (CRRAH),0801803385000
XBARTO,BARTON FUND LLC (CRRAH),0801324245000
XBAYES,BAYES POWER LLC (CRRAH),0999305445000
XBAYE1,BAYES POWER LLC 1 (CRRAH),0999305445100
XBAYE2,BAYES POWER LLC 2 (CRRAH),0999305445200
XBCLIP,BCLI POWER LLC (CRRAH),1194810195000
XBCLP1,BCLI POWER LLC 1 (CRRAH),1194810195100
XBEARL,BEAR LAKE TRADING LLC (CRRAH),1179074975000
XBEAR1,BEAR LAKE TRADING LLC 1 (CRRAH),1179074975100
XBEAR2,BEAR LAKE TRADING LLC 2 (CRRAH),1179074975200
XBBEND,BIG BEND TRADING LLC (CRRAH),0806088175000
XBBEN2,BIG BEND TRADING LLC 2 (CRRAH),0806088175100
XBJEN,BJ ENERGY LLC (CRRAH),5555683805000
XBJEN2,BJ ENERGY LLC 2 (CRRAH),5555683805100
XBJEN3,BJ ENERGY LLC 3 (CRRAH),5555683805200
XEDISO,BOSTON ENERGY TRADING AND MARKETING LLC (CRRAH),0748829575000
XEDIS1,BOSTON ENERGY TRADING AND MARKETING LLC 1 (CRRAH),0748829575100
XEDIS2,BOSTON ENERGY TRADING AND MARKETING LLC 2 (CRRAH),0748829575200
XBPEC,BP ENERGY COMPANY (CRRAH),6252757555000
XBPEC1,BP ENERGY COMPANY 1 (CRRAH),6252757555100
XBPEC2,BP ENERGY COMPANY 2 (CRRAH),6252757555200
XEDFEN,BP ENERGY RETAIL COMPANY LLC 1 (CRRAH),7887078475000
XEDFE2,BP ENERGY RETAIL COMPANY LLC 2 (CRRAH),7887078475100
XEDFE3,BP ENERGY RETAIL COMPANY LLC 3 (CRRAH),7887078475200
XBPPUS,BPPUS POWER TRADING LLC (CRRAH),1192609925000
XBRAVO,BRAVOS MONARCA LLC (CRRAH),1183842525000
XBRAV1,BRAVOS MONARCA LLC 1 (CRRAH),1183842525100
XBRAV2,BRAVOS MONARCA LLC 2 (CRRAH),1183842525200
XBRDQ1,BROAD REACH QSE I LLC (CRRAH),1184321775000
XBROOK,BROOKFIELD RENEWABLE TRADING AND MARKETING LP (CRRAH),2038399565000
XBPUB,BROWNSVILLE PUBLIC UTILITIES BOARD (CRRAH),6063470375000
XBTU,BRYAN TEXAS UTILITIES (CRRAH),0793907795000
XCAERC,CAERUS COMMODITIES TRADING LP (CRRAH),1186268065000
XSEMES,CALPINE ENERGY SOLUTIONS LLC (CRRAH),9682542765000
XCALPP,CALPINE POWER MANAGEMENT LLC (CRRAH),1127108765000
XCALP1,CALPINE POWER MANAGEMENT LLC 1 (CRRAH),1127108765100
XCALP2,CALPINE POWER MANAGEMENT LLC 2 (CRRAH),1127108765200
XCAPEM,CAPEMAY CAPITAL LLC (CRRAH),1172277505000
XCASSI,CASSIAN ENERGY LLC (CRRAH),1170335385000
XCASS2,CASSIAN ENERGY LLC 2 (CRRAH),1170335385100
XCASS3,CASSIAN ENERGY LLC 3 (CRRAH),1170335385200
XLOUIS,CASTLETON COMMODITIES MERCHANT TRADING LP (CRRAH),0387147835000
XCASTP,CASTLETON COMMODITIES PARTNERS LLC (CRRAH),0798826345000
XCC8LL,CC8 LLC (CRRAH),0795749695000
XCC8C1,CC8 LLC 1 (CRRAH),0795749695100
XCC8C2,CC8 LLC 2 (CRRAH),0795749695200
XCCIUS,CCI US POWER TRADING LLC (CRRAH),1183328145000
XCDAFP,CDAF POWER LLC (CRRAH),1050064675000
XCDAF1,CDAF POWER LLC 1 (CRRAH),1050064675100
XCTEC,CENTRAL TEXAS ELECTRIC COOPERATIVE INC (CRRAH),0079302745000
XCEPTX,CEPAM TX CORP (CRRAH),1194708075000
XCHMP,CHAMPION ENERGY MARKETING LLC (CRRAH),8269610425000
XCHICO,CHICOT LLC (CRRAH),1186033485000
XCHIC1,CHICOT LLC 1 (CRRAH),1186033485100
XCHIC2,CHICOT LLC 2 (CRRAH),1186033485200
XCIRRO,CIRRO GROUP INC (CRRAH),0344414495000
XCITAE,CITADEL ENERGY MARKETING LLC (CRRAH),0796630875000
XCITAT,CITADEL TEXAS ENERGY LTD (CRRAH),1188689285000
XCITA1,CITADEL TEXAS ENERGY LTD 1 (CRRAH),1188689285100
XCITX2,CITADEL TEXAS ENERGY LTD 2 (CRRAH),1188689285200
XCITI,CITIGROUP ENERGY INC (CRRAH),1451846315000
